CoC Number,CoC Name,Count Types,Year,Sheltered Total Homeless,Sheltered Total Homeless - Under 18,Sheltered Total Homeless - Age 18 to 24,Sheltered Total Homeless - Over 24,Sheltered Total Homeless - Female,Sheltered Total Homeless - Male,Sheltered Total Homeless - Transgender,Sheltered Total Homeless - Gender that is not Singularly Female or Male,Sheltered Total Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Sheltered Total Homeless - Hispanic/Latin(o)(a)(x),Sheltered Total Homeless - White,"Sheltered Total Homeless - Black, African American, or African",Sheltered Total Homeless - Asian or Asian American,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander,Sheltered Total Homeless - Multiple Races,Unsheltered Homeless,Unsheltered Homeless - Under 18,Unsheltered Homeless - Age 18 to 24,Unsheltered Homeless - Over 24,Unsheltered Homeless - Female,Unsheltered Homeless - Male,Unsheltered Homeless - Transgender,Unsheltered Homeless - Gender that is not Singularly Female or Male,Unsheltered Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Unsheltered Homeless - Hispanic/Latin(o)(a)(x),Unsheltered Homeless - White,"Unsheltered Homeless - Black, African American, or African",Unsheltered Homeless - Asian or Asian American,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander,Unsheltered Homeless - Multiple Races,Sheltered Total Homeless - Gender Questioning,Unsheltered Homeless - Gender Questioning
OR-507,Clackamas County CoC,Sheltered and Unsheltered Count,2017,151,34,26,91,55,96,0,0,129,22,115,4,1,16,3,12,346,26,8,312,113,232,0,1,321,25,285,14,1,13,2,31,,
PA-500,Philadelphia CoC,Sheltered and Unsheltered Count,2017,4737,1528,440,2769,2050,2631,55,1,4436,301,605,3925,14,5,16,172,956,6,84,866,205,742,1,8,847,109,264,584,20,9,8,71,,
PA-501,Harrisburg/Dauphin County CoC,Sheltered and Unsheltered Count,2017,390,98,19,273,149,241,0,0,326,64,140,208,3,1,2,36,70,0,3,67,13,57,0,0,61,9,30,30,1,0,1,8,,
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Sheltered and Unsheltered Count,2017,413,128,33,252,199,214,0,0,396,17,112,274,4,0,1,22,40,0,1,39,8,32,0,0,37,3,15,25,0,0,0,0,,
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",Sheltered and Unsheltered Count,2017,171,56,20,95,104,67,0,0,132,39,92,66,0,1,0,12,3,0,0,3,0,3,0,0,3,0,1,1,0,1,0,0,,
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",Sheltered and Unsheltered Count,2017,291,108,30,153,165,126,0,0,278,13,99,163,2,0,0,27,19,0,0,19,3,16,0,0,18,1,11,6,0,0,0,2,,
PA-505,Chester County CoC,Sheltered and Unsheltered Count,2017,554,115,21,418,193,361,0,0,524,30,285,244,6,2,0,17,24,1,1,22,8,16,0,0,24,0,22,2,0,0,0,0,,
PA-506,Reading/Berks County CoC,Sheltered and Unsheltered Count,2017,521,112,43,366,168,353,0,0,351,170,384,131,1,2,1,2,13,0,1,12,5,8,0,0,10,3,13,0,0,0,0,0,,
PA-508,Scranton/Lackawanna County CoC,Sheltered and Unsheltered Count,2017,183,63,18,102,90,93,0,0,156,27,117,41,0,0,0,25,14,0,2,12,4,10,0,0,12,2,12,1,0,1,0,0,,
PA-509,Eastern Pennsylvania CoC,Sheltered and Unsheltered Count,2017,1765,599,186,980,919,843,3,0,1413,352,1230,445,8,15,3,64,405,13,34,358,112,292,1,0,373,32,355,40,2,3,0,5,,
PA-510,Lancaster City & County CoC,Sheltered and Unsheltered Count,2017,295,86,25,184,149,146,0,0,222,73,169,106,0,2,1,17,26,0,2,24,6,20,0,0,20,6,20,5,0,1,0,0,,
PA-511,"Bristol, Bensalem/Bucks County CoC",Sheltered and Unsheltered Count,2017,462,191,60,211,284,178,0,0,401,61,278,154,1,1,0,28,49,0,7,42,10,39,0,0,47,2,47,2,0,0,0,0,,
PA-512,York City & County CoC,Sheltered and Unsheltered Count,2017,243,91,9,143,129,114,0,0,203,40,137,83,1,0,1,21,45,12,3,30,15,28,2,0,43,2,33,10,1,0,0,1,,
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",Sheltered and Unsheltered Count,2017,1092,249,107,736,454,635,3,0,1056,36,419,578,9,1,3,82,53,0,2,51,12,40,0,1,51,2,29,20,0,0,0,4,,
PA-601,Western Pennsylvania CoC,Sheltered and Unsheltered Count,2017,774,182,59,533,342,432,0,0,750,24,600,137,4,1,2,30,63,8,9,46,22,41,0,0,60,3,56,6,0,0,0,1,,
PA-603,Beaver County CoC,Sheltered and Unsheltered Count,2017,88,36,5,47,46,42,0,0,88,0,41,47,0,0,0,0,10,4,0,6,6,4,0,0,10,0,1,8,0,0,0,1,,
PA-605,Erie City & County CoC,Sheltered and Unsheltered Count,2017,361,69,36,256,126,234,1,0,340,21,239,108,0,1,0,13,8,0,0,8,3,5,0,0,8,0,8,0,0,0,0,0,,
PR-502,Puerto Rico Balance of Commonwealth CoC,Sheltered and Unsheltered Count,2017,682,105,51,526,250,432,0,0,19,663,284,83,1,14,1,299,1201,10,51,1140,230,970,1,0,31,1170,599,296,0,1,4,301,,
PR-503,South-Southeast Puerto Rico CoC,Sheltered and Unsheltered Count,2017,331,27,19,285,78,253,0,0,10,321,194,47,0,0,1,89,1311,76,78,1157,283,1021,4,3,17,1294,535,207,1,2,5,561,,
RI-500,Rhode Island Statewide CoC,Sheltered and Unsheltered Count,2017,1111,236,70,805,408,696,7,0,863,248,718,292,8,14,3,76,69,0,8,61,22,47,0,0,54,15,44,17,0,2,0,6,,
SC-500,Charleston/Low Country CoC,Sheltered and Unsheltered Count,2017,221,15,3,203,40,181,0,0,210,11,98,104,2,2,0,15,204,6,10,188,41,161,2,0,199,5,72,107,0,1,0,24,,
SC-501,"Greenville, Anderson, Spartanburg/Upstate CoC",Sheltered and Unsheltered Count,2017,932,239,61,632,425,503,3,1,905,27,429,464,3,2,1,33,385,26,19,340,118,266,1,0,378,7,178,194,0,2,1,10,,
SC-502,Columbia/Midlands CoC,Sheltered and Unsheltered Count,2017,893,155,52,686,355,538,0,0,877,16,272,588,1,6,1,25,307,12,16,279,78,227,2,0,301,6,89,207,1,7,0,3,,
SC-503,"Myrtle Beach, Sumter City & County CoC",Sheltered and Unsheltered Count,2017,369,58,33,278,156,211,1,1,355,14,171,182,1,4,1,10,605,131,33,441,238,366,1,0,603,2,223,359,0,8,0,15,,
SD-500,South Dakota Statewide CoC,Sheltered and Unsheltered Count,2017,772,208,50,514,346,424,2,0,741,31,255,33,3,465,8,8,171,7,12,152,66,105,0,0,160,11,55,11,0,98,0,7,,
TN-500,Chattanooga/Southeast Tennessee CoC,Sheltered and Unsheltered Count,2017,359,68,15,276,151,208,0,0,349,10,196,131,0,0,0,32,217,2,7,208,55,161,1,0,210,7,172,41,0,2,0,2,,
TN-501,Memphis/Shelby County CoC,Sheltered and Unsheltered Count,2017,1347,317,60,970,451,896,0,0,1331,16,274,1031,5,3,0,34,79,0,2,77,17,62,0,0,79,0,11,60,0,0,1,7,,
TN-502,Knoxville/Knox County CoC,Sheltered and Unsheltered Count,2017,678,61,54,563,281,396,1,0,657,21,483,161,4,2,1,27,134,6,19,109,59,75,0,0,127,7,76,57,0,1,0,0,,
TN-503,Central Tennessee CoC,Sheltered and Unsheltered Count,2017,260,55,41,164,123,137,0,0,235,25,153,106,1,0,0,0,25,0,1,24,2,23,0,0,23,2,15,10,0,0,0,0,,
TN-504,Nashville-Davidson County CoC,Sheltered and Unsheltered Count,2017,1698,263,80,1355,544,1152,2,0,1648,50,801,796,14,21,2,64,639,4,28,607,181,458,0,0,609,30,419,215,5,0,0,0,,
TN-506,Upper Cumberland CoC,Sheltered and Unsheltered Count,2017,168,41,13,114,76,91,1,0,166,2,137,19,1,1,2,8,84,16,8,60,37,47,0,0,84,0,82,1,0,1,0,0,,
TN-507,Jackson/West Tennessee CoC,Sheltered and Unsheltered Count,2017,134,42,8,84,71,63,0,0,129,5,92,42,0,0,0,0,969,218,75,676,495,474,0,0,958,11,580,349,0,18,0,22,,
TN-509,Appalachian Regional CoC,Sheltered and Unsheltered Count,2017,305,51,7,247,110,195,0,0,301,4,277,23,2,0,0,3,145,10,6,129,42,103,0,0,143,2,136,4,0,2,0,3,,
TN-510,Murfreesboro/Rutherford County CoC,Sheltered and Unsheltered Count,2017,227,35,17,175,122,105,0,0,224,3,127,84,1,2,0,13,89,0,0,89,72,17,0,0,89,0,66,21,1,1,0,0,,
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",Sheltered and Unsheltered Count,2017,368,115,47,206,216,149,1,2,357,11,317,35,0,5,0,11,384,60,55,269,151,231,1,1,373,11,361,19,0,2,0,2,,
TX-500,San Antonio/Bexar County CoC,Sheltered and Unsheltered Count,2017,1641,509,97,1035,802,828,11,0,910,731,1118,451,4,51,4,13,1102,2,64,1036,237,863,1,1,619,483,794,268,11,16,3,10,,
TX-503,Austin/Travis County CoC,Sheltered and Unsheltered Count,2017,1202,385,85,732,551,648,3,0,771,431,630,478,17,12,3,62,834,1,59,774,153,680,1,0,702,132,499,279,1,23,3,29,,
TX-600,"Dallas City & County, Irving CoC",Sheltered and Unsheltered Count,2017,2702,561,168,1973,1055,1644,3,0,2344,358,871,1635,34,22,9,131,1087,8,71,1008,252,833,0,2,949,138,392,656,6,7,1,25,,
TX-601,"Fort Worth, Arlington/Tarrant County CoC",Sheltered and Unsheltered Count,2017,1551,387,84,1080,652,899,0,0,1344,207,698,797,12,14,7,23,390,20,20,350,89,301,0,0,346,44,232,144,2,9,1,2,,
TX-603,El Paso City & County CoC,Sheltered and Unsheltered Count,2017,1016,342,71,603,472,544,0,0,276,740,926,51,11,11,3,14,177,0,21,156,34,143,0,0,105,72,142,24,0,4,0,7,,
TX-604,Waco/McLennan County CoC,Sheltered and Unsheltered Count,2017,162,65,13,84,86,75,0,1,125,37,99,54,0,0,0,9,59,1,5,53,19,40,0,0,51,8,29,23,2,2,0,3,,
TX-607,Texas Balance of State CoC,Sheltered and Unsheltered Count,2017,3583,1070,396,2117,1816,1702,6,59,2455,1128,2135,1111,89,43,5,200,3570,236,283,3051,963,2585,13,9,2131,1439,2658,667,11,73,18,143,,
TX-611,Amarillo CoC,Sheltered and Unsheltered Count,2017,419,34,40,345,149,264,1,5,378,41,276,92,0,5,3,43,112,0,4,108,27,71,0,14,80,32,24,11,0,5,0,72,,
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",Sheltered and Unsheltered Count,2017,213,39,21,153,97,113,1,2,197,16,151,51,0,0,0,11,21,0,3,18,2,19,0,0,18,3,14,6,0,0,0,1,,
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC",Sheltered and Unsheltered Count,2017,2477,599,173,1705,1153,1321,3,0,2105,372,916,1446,41,8,4,62,1128,12,64,1052,218,905,4,1,945,183,426,632,9,19,4,38,,
TX-701,"Bryan, College Station/Brazos Valley CoC",Sheltered and Unsheltered Count,2017,89,15,8,66,31,58,0,0,81,8,41,45,2,1,0,0,13,0,0,13,3,10,0,0,10,3,5,7,1,0,0,0,,
UT-500,Salt Lake City & County CoC,Sheltered and Unsheltered Count,2017,1886,440,121,1325,676,1204,6,0,1434,452,1377,222,23,123,41,100,161,0,22,139,44,117,0,0,124,37,137,8,2,8,1,5,,
UT-503,Utah Balance of State CoC,Sheltered and Unsheltered Count,2017,558,158,42,358,260,297,1,0,456,102,470,43,2,21,2,20,76,0,5,71,26,50,0,0,72,4,65,1,0,3,2,5,,
UT-504,Provo/Mountainland CoC,Sheltered and Unsheltered Count,2017,130,39,6,85,68,62,0,0,95,35,114,8,0,4,1,3,41,0,7,34,9,32,0,0,29,12,39,0,0,0,0,2,,
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC",Sheltered and Unsheltered Count,2017,509,56,37,416,112,397,0,0,500,9,176,320,2,0,0,11,153,0,4,149,27,125,0,1,141,12,69,79,0,0,1,4,,
VA-501,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC",Sheltered and Unsheltered Count,2017,634,84,44,506,187,445,2,0,597,37,146,457,8,0,2,21,69,0,2,67,14,55,0,0,67,2,20,48,0,0,0,1,,
VA-502,"Roanoke City & County, Salem CoC",Sheltered and Unsheltered Count,2017,250,45,18,187,99,150,1,0,243,7,141,86,0,0,0,23,17,0,3,14,2,15,0,0,16,1,6,9,0,0,0,2,,
VA-503,Virginia Beach CoC,Sheltered and Unsheltered Count,2017,271,80,25,166,125,146,0,0,236,35,123,133,2,1,4,8,78,1,10,67,24,52,1,1,74,4,40,30,2,2,1,3,,
VA-504,Charlottesville CoC,Sheltered and Unsheltered Count,2017,137,29,4,104,49,87,1,0,131,6,69,57,0,2,1,8,23,0,4,19,3,20,0,0,22,1,13,6,0,3,0,1,,
VA-505,"Newport News, Hampton/Virginia Peninsula CoC",Sheltered and Unsheltered Count,2017,432,103,20,309,184,247,1,0,396,36,116,299,0,0,0,17,80,0,4,76,19,61,0,0,75,5,34,44,0,2,0,0,,
VA-507,Portsmouth CoC,Sheltered and Unsheltered Count,2017,96,22,2,72,36,60,0,0,83,13,18,73,0,0,5,0,55,0,0,55,7,48,0,0,55,0,8,47,0,0,0,0,,
VA-508,Lynchburg CoC,Sheltered and Unsheltered Count,2017,100,23,3,74,52,48,0,0,94,6,42,55,1,2,0,0,25,0,4,21,4,20,0,1,23,2,14,11,0,0,0,0,,
VA-513,"Harrisburg, Winchester/Western Virginia CoC",Sheltered and Unsheltered Count,2017,261,49,11,201,98,163,0,0,253,8,189,41,0,4,1,26,19,0,0,19,4,15,0,0,18,1,14,4,1,0,0,0,,
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",Sheltered and Unsheltered Count,2017,177,61,25,91,83,94,0,0,169,8,69,87,6,0,0,15,39,0,2,37,9,29,1,0,35,4,30,3,0,3,0,3,,
VA-521,Virginia Balance of State CoC,Sheltered and Unsheltered Count,2017,563,182,27,354,288,274,0,1,521,42,310,223,2,5,1,22,159,13,11,135,53,106,0,0,156,3,101,55,0,0,0,3,,
VA-600,Arlington County CoC,Sheltered and Unsheltered Count,2017,199,48,18,133,87,112,0,0,173,26,42,133,7,0,0,17,33,0,0,33,3,30,0,0,26,7,13,11,1,0,0,8,,
VA-601,Fairfax County CoC,Sheltered and Unsheltered Count,2017,856,287,86,483,406,450,0,0,712,144,296,469,48,4,4,35,108,2,2,104,15,92,0,1,85,23,58,42,1,0,0,7,,
VA-602,Loudoun County CoC,Sheltered and Unsheltered Count,2017,97,27,11,59,34,63,0,0,72,25,59,32,2,0,0,4,16,0,0,16,6,10,0,0,15,1,12,4,0,0,0,0,,
VA-603,Alexandria CoC,Sheltered and Unsheltered Count,2017,193,56,13,124,93,99,1,0,176,17,45,138,0,2,1,7,18,0,0,18,4,14,0,0,16,2,12,5,1,0,0,0,,
VA-604,Prince William County CoC,Sheltered and Unsheltered Count,2017,284,130,14,140,155,129,0,0,231,53,74,193,0,0,1,16,116,1,11,104,33,82,1,0,105,11,58,47,0,2,0,9,,
VI-500,Virgin Islands CoC,Sheltered and Unsheltered Count,2017,74,9,3,62,17,57,0,0,64,10,8,61,0,1,3,1,307,0,2,305,56,241,0,10,268,39,46,250,1,4,0,6,,
VT-500,Vermont Balance of State CoC,Sheltered and Unsheltered Count,2017,828,234,97,497,399,425,2,2,785,43,756,40,3,1,1,27,106,18,15,73,35,71,0,0,106,0,104,1,0,1,0,0,,
VT-501,Burlington/Chittenden County CoC,Sheltered and Unsheltered Count,2017,263,51,29,183,120,140,3,0,247,16,208,36,4,4,1,10,28,3,1,24,7,21,0,0,27,1,25,2,0,0,0,1,,
WA-500,Seattle/King County CoC,Sheltered and Unsheltered Count,2017,6158,1677,535,3946,2565,3552,33,8,5320,838,2585,2063,172,318,187,833,5485,237,953,4295,1638,3659,106,82,4725,760,2668,1339,66,379,72,961,,
WA-501,Washington Balance of State CoC,Sheltered and Unsheltered Count,2017,3563,1147,313,2103,1732,1818,7,6,2889,674,2704,246,21,274,44,274,1680,140,165,1375,579,1097,1,3,1507,173,1374,46,18,138,17,87,,
WA-502,Spokane City & County CoC,Sheltered and Unsheltered Count,2017,952,198,54,700,377,572,2,1,886,66,752,51,4,70,17,58,138,5,19,114,47,90,1,0,131,7,118,11,2,1,1,5,,
WA-503,"Tacoma, Lakewood/Pierce County CoC",Sheltered and Unsheltered Count,2017,817,258,63,496,364,450,0,3,709,108,398,154,23,18,49,175,504,11,43,450,165,337,1,1,459,45,341,85,5,28,24,21,,
WA-504,Everett/Snohomish County CoC,Sheltered and Unsheltered Count,2017,551,169,46,336,257,292,2,0,457,94,390,84,3,10,14,50,515,33,62,420,175,336,1,3,475,40,410,24,7,36,9,29,,
WA-508,Vancouver/Clark County CoC,Sheltered and Unsheltered Count,2017,480,154,35,291,214,266,0,0,449,31,372,40,0,6,41,21,269,80,8,181,107,162,0,0,253,16,228,24,0,7,9,1,,
WI-500,Wisconsin Balance of State CoC,Sheltered and Unsheltered Count,2017,3211,1179,265,1767,1593,1608,8,2,2969,242,2023,694,56,169,9,260,137,4,6,127,31,106,0,0,127,10,108,17,0,5,1,6,,
WI-501,Milwaukee City & County CoC,Sheltered and Unsheltered Count,2017,765,153,67,545,274,490,1,0,708,57,228,501,3,6,2,25,135,4,24,107,36,99,0,0,120,15,51,70,0,3,0,11,,
WI-502,Racine City & County CoC,Sheltered and Unsheltered Count,2017,187,41,12,134,68,119,0,0,174,13,97,70,0,3,1,16,7,0,2,5,2,5,0,0,6,1,7,0,0,0,0,0,,
WI-503,Madison/Dane County CoC,Sheltered and Unsheltered Count,2017,524,164,51,309,253,269,2,0,475,49,192,278,10,8,0,36,61,1,4,56,10,50,1,0,56,5,47,13,0,1,0,0,,
WV-500,"Wheeling, Weirton Area CoC",Sheltered and Unsheltered Count,2017,111,26,5,80,64,47,0,0,111,0,91,15,0,1,0,4,7,0,1,6,3,4,0,0,7,0,3,3,0,0,0,1,,
WV-501,"Huntington/Cabell, Wayne Counties CoC",Sheltered and Unsheltered Count,2017,173,34,10,129,78,95,0,0,173,0,149,23,0,0,0,1,32,0,1,31,7,25,0,0,32,0,26,5,0,1,0,0,,
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",Sheltered and Unsheltered Count,2017,270,32,18,220,56,214,0,0,270,0,188,77,0,0,0,5,49,0,4,45,9,40,0,0,49,0,37,12,0,0,0,0,,
WV-508,West Virginia Balance of State CoC,Sheltered and Unsheltered Count,2017,567,65,44,458,218,348,1,0,552,15,471,77,2,3,3,11,100,9,4,87,27,73,0,0,94,6,97,2,0,0,0,1,,
WY-500,Wyoming Statewide CoC,Sheltered and Unsheltered Count,2017,510,75,50,385,158,349,3,0,443,67,441,27,2,22,2,16,363,54,9,300,142,221,0,0,324,39,210,16,0,123,6,8,,
AK-500,Anchorage CoC,Sheltered and Unsheltered Count,2018,1000,169,113,718,425,568,7,0,938,62,301,120,19,401,56,103,94,0,3,91,27,67,0,0,93,1,12,1,0,69,0,12,,
AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2018,707,159,63,485,355,352,0,0,675,32,262,32,20,324,9,60,215,21,12,182,73,142,0,0,208,7,108,3,0,84,11,9,,
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Sheltered and Unsheltered Count,2018,682,129,20,533,246,435,1,0,666,16,263,395,1,6,0,17,219,0,5,214,61,158,0,0,218,1,75,137,0,1,0,6,,
AL-501,Mobile City & County/Baldwin County CoC,Sheltered and Unsheltered Count,2018,318,87,15,216,146,172,0,0,308,10,127,177,1,0,0,13,233,10,15,208,54,177,2,0,223,10,92,130,0,4,0,7,,
AL-502,Florence/Northwest Alabama CoC,Sheltered-Only Count,2018,234,65,0,169,133,101,0,0,218,16,149,22,0,0,0,63,22,0,1,21,5,16,0,1,22,0,20,2,0,0,0,0,,
AL-503,Huntsville/North Alabama CoC,Sheltered and Unsheltered Count,2018,308,51,24,233,134,173,1,0,294,14,164,133,2,3,0,6,116,5,4,107,36,79,1,0,113,3,78,33,1,0,3,1,,
AL-504,Montgomery City & County CoC,Sheltered and Unsheltered Count,2018,300,70,12,218,139,161,0,0,295,5,91,199,0,2,2,6,69,0,2,67,18,51,0,0,69,0,12,56,0,0,0,1,,
AL-505,Gadsden/Northeast Alabama CoC,Sheltered-Only Count,2018,86,26,3,57,36,49,1,0,80,6,47,37,1,1,0,0,60,0,2,58,14,46,0,0,60,0,44,10,0,1,0,5,,
AL-506,Tuscaloosa City & County CoC,Sheltered and Unsheltered Count,2018,56,12,1,43,27,29,0,0,55,1,20,33,0,0,0,3,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,,
AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2018,440,62,24,354,183,256,1,0,433,7,344,93,0,2,0,1,290,56,29,205,166,122,2,0,285,5,138,146,0,3,0,3,,
AR-500,Little Rock/Central Arkansas CoC,Sheltered-Only Count,2018,531,75,26,430,206,325,0,0,520,11,235,260,1,6,0,29,550,27,36,487,165,384,1,0,537,13,211,312,1,5,0,21,,
AR-501,Fayetteville/Northwest Arkansas CoC,Sheltered and Unsheltered Count,2018,323,102,32,189,165,155,3,0,288,35,243,43,1,11,1,24,151,1,8,142,40,111,0,0,145,6,126,7,2,6,2,8,,
AR-503,Arkansas  Balance of State  CoC,Sheltered-Only Count,2018,341,39,22,280,166,174,0,1,333,8,257,78,0,1,1,4,484,14,74,396,185,298,1,0,481,3,338,138,3,0,0,5,,
AR-505,Southeast Arkansas CoC,Sheltered and Unsheltered Count,2018,95,41,2,52,71,24,0,0,95,0,47,48,0,0,0,0,6,0,0,6,1,5,0,0,6,0,6,0,0,0,0,0,,
AR-508,Fort Smith CoC,Sheltered and Unsheltered Count,2018,165,8,12,145,70,95,0,0,163,2,128,24,0,7,0,6,66,2,1,63,44,22,0,0,64,2,56,6,4,0,0,0,,
AZ-500,Arizona Balance of State CoC,Sheltered and Unsheltered Count,2018,1102,303,60,739,438,663,1,0,846,256,645,78,2,210,3,164,1085,60,79,946,314,752,4,15,915,170,864,21,1,140,3,56,,
AZ-501,Tucson/Pima County CoC,Sheltered and Unsheltered Count,2018,1017,177,97,743,366,640,10,1,698,319,768,135,4,59,5,46,363,2,36,325,87,276,0,0,275,88,268,23,2,40,4,26,,
AZ-502,"Phoenix, Mesa/Maricopa County CoC",Sheltered and Unsheltered Count,2018,3680,1117,340,2223,1640,2031,9,0,2756,924,2005,1223,30,216,22,184,2618,21,168,2429,615,1992,10,1,2100,518,1944,426,14,171,20,43,,
CA-500,San Jose/Santa Clara City & County CoC,Sheltered-Only Count,2018,1806,424,122,1260,681,1115,7,3,859,947,1231,230,84,96,25,140,5448,664,1955,2829,1672,3763,13,0,3197,2251,2142,790,161,849,181,1325,,
CA-501,San Francisco CoC,Sheltered-Only Count,2018,2504,376,314,1814,1097,1365,39,3,1872,632,672,1329,116,73,75,239,4353,101,1039,3213,832,3500,21,0,3372,981,1614,1369,206,167,49,948,,
CA-502,"Oakland, Berkeley/Alameda County CoC",Sheltered-Only Count,2018,1633,403,249,981,774,845,10,4,1327,306,390,998,35,48,14,148,3863,76,681,3106,1467,2346,41,9,3240,623,1240,1724,81,134,27,657,,
CA-503,Sacramento City & County CoC,Sheltered-Only Count,2018,1569,322,152,1095,666,898,5,0,1262,307,730,633,12,37,24,133,2052,7,118,1927,488,1517,0,47,1682,370,1070,481,14,131,10,346,,
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Sheltered and Unsheltered Count,2018,1067,188,67,812,444,620,2,1,801,266,785,99,15,61,10,97,1929,38,423,1468,713,1126,53,37,1371,558,1059,140,30,145,25,530,,
CA-505,Richmond/Contra Costa County CoC,Sheltered and Unsheltered Count,2018,697,111,45,541,308,388,1,0,570,127,225,334,22,66,16,34,1537,57,103,1377,552,982,3,0,1299,238,915,378,22,165,16,41,,
CA-506,"Salinas/Monterey, San Benito Counties CoC",Sheltered-Only Count,2018,785,254,52,479,348,436,1,0,382,403,636,76,12,7,11,43,2514,270,441,1803,811,1698,5,0,596,1918,1888,259,0,0,0,367,,
CA-507,Marin County CoC,Sheltered-Only Count,2018,387,83,28,276,166,221,0,0,286,101,248,91,6,7,2,33,708,32,100,576,176,526,6,0,604,104,433,108,3,18,3,143,,
CA-508,Watsonville/Santa Cruz City & County CoC,Sheltered-Only Count,2018,521,151,43,327,238,279,4,0,328,193,367,33,11,73,4,33,1799,242,434,1123,380,1418,1,0,1219,580,999,139,4,84,4,569,,
CA-509,Mendocino County CoC,Sheltered and Unsheltered Count,2018,157,33,5,119,66,90,1,0,136,21,131,4,0,13,3,6,723,0,13,710,238,485,0,0,657,66,525,7,0,97,22,72,,
CA-510,"Turlock, Modesto/Stanislaus County CoC",Sheltered and Unsheltered Count,2018,750,149,50,551,295,452,2,1,485,265,569,91,9,37,4,40,606,19,47,540,175,427,3,1,251,355,484,50,4,40,12,16,,
CA-511,Stockton/San Joaquin County CoC,Sheltered-Only Count,2018,1118,380,63,675,486,630,2,0,755,363,621,364,17,14,21,81,567,9,32,526,199,368,0,0,433,134,405,101,15,25,8,13,,
CA-512,Daly/San Mateo County CoC,Sheltered-Only Count,2018,601,212,31,358,287,313,1,0,334,267,350,94,32,53,46,26,637,56,8,573,161,473,3,0,457,180,493,94,0,12,12,26,,
CA-513,"Visalia/Kings, Tulare Counties CoC",Sheltered and Unsheltered Count,2018,315,88,27,200,141,174,0,0,156,159,252,48,7,6,0,2,652,10,54,588,241,410,1,0,394,258,534,43,6,47,7,15,,
CA-514,Fresno City & County/Madera County CoC,Sheltered and Unsheltered Count,2018,463,167,36,260,204,257,2,0,251,212,310,106,23,10,4,10,1681,6,64,1611,509,1172,0,0,932,749,1035,316,70,161,12,87,,
CA-515,"Roseville, Rocklin/Placer County CoC",Sheltered-Only Count,2018,492,98,24,370,209,282,0,1,415,77,375,46,7,17,10,37,458,10,42,406,127,326,0,5,400,58,373,8,4,43,4,26,,
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Sheltered and Unsheltered Count,2018,459,86,26,347,161,292,4,2,421,38,362,24,10,31,4,28,690,46,25,619,251,439,0,0,649,41,586,18,3,37,16,30,,
CA-517,Napa City & County CoC,Sheltered and Unsheltered Count,2018,168,27,11,130,58,109,0,1,105,63,136,9,1,14,6,2,154,2,5,147,42,110,0,2,106,48,135,5,0,3,1,10,,
CA-518,Vallejo/Solano County CoC,Sheltered-Only Count,2018,212,27,47,138,96,116,0,0,181,31,68,109,8,3,6,18,917,38,164,715,236,680,1,0,698,219,438,260,7,26,22,164,,
CA-519,"Chico, Paradise/Butte County CoC",Sheltered-Only Count,2018,380,76,24,280,194,186,0,0,323,57,317,14,1,11,3,34,745,39,40,666,212,530,1,2,685,60,565,14,6,48,15,97,,
CA-520,Merced City & County CoC,Sheltered and Unsheltered Count,2018,202,25,17,160,82,120,0,0,144,58,132,44,6,14,4,2,312,6,21,285,72,240,0,0,205,107,233,35,2,2,0,40,,
CA-521,"Davis, Woodland/Yolo County CoC",Sheltered-Only Count,2018,239,75,29,135,148,91,0,0,165,74,156,64,1,14,1,3,209,4,9,196,58,134,4,13,178,31,154,23,0,9,3,20,,
CA-522,Humboldt County CoC,Sheltered-Only Count,2018,269,51,13,205,74,193,1,1,242,27,191,17,0,21,2,38,434,16,48,370,135,290,1,8,405,29,341,9,2,66,2,14,,
